protein	"F20190719_liuwei_MDR_b1_K_1"	"F20190719_liuwei_MDR_b1_K_2"	"F20190719_liuwei_MDR_b1_K_3"	"F20190719_liuwei_MDR_b1_K_3_repB"	"F20190719_liuwei_MDR_b2_A1_1"	"F20190719_liuwei_MDR_b2_A1_2"	"F20190719_liuwei_MDR_b2_A1_3"	"F20190719_liuwei_MDR_b2_A1_3_repB"	"F20190721_liuwei_MDR_b3_A2_1"	"F20190721_liuwei_MDR_b3_A2_2"	"F20190721_liuwei_MDR_b3_A2_3"	"F20190721_liuwei_MDR_b3_A2_3_repB"	"F201907222_liuwei_MDR_b4_A3_1"	"F201907222_liuwei_MDR_b4_A3_2"	"F201907222_liuwei_MDR_b4_A3_3"	"F201907222_liuwei_MDR_b4_A3_3_repB"	"F201907242_liuwei_MDR_b5_I1_1"	"F201907242_liuwei_MDR_b5_I1_2"	"F201907242_liuwei_MDR_b5_I1_3"	"F201907242_liuwei_MDR_b5_I1_3_repB"	"F201907252_liuwei_MDR_b6_I2_1"	"F201907252_liuwei_MDR_b6_I2_2"	"F201907252_liuwei_MDR_b6_I2_3"	"F20190727_liuwei_MDR_b7_I3_1"	"F20190727_liuwei_MDR_b7_I3_2"	"F20190727_liuwei_MDR_b7_I3_3"
"CON_18266794|SWISS-PROT:O76015;CON_18266793|SWISS-PROT:O76014;sp|O76014|KRT37_HUMAN;sp|O76015|KRT38_HUMAN"	20.7	20.24	21.73	21.46	20.84	21.33	20.84	20.84	21.79	21.48	20.85	20.86	19.94	21.12	20.56	20.41	19.19	20.47	20.09	20.65	18.07	19.43	19.35	20.63	19.25	20.49
"CON_ALDOA_RABIT|SWISS-PROT:P00883;sp|P04075|ALDOA_HUMAN;CON_ALDOA_RABIT|SWISS-PROT:P00883;sp|P04075|ALDOA_HUMAN"	27.65	27.86	27.71	27.93	28	28	28.13	28.13	28.41	27.96	28.21	28.3	28.97	28.89	28.85	28.89	28.66	28.7	28.7	28.65	29.02	28.89	29.13	28.8	29.63	29.03
"CON_ALDOA_RABIT|SWISS-PROT:P00883;sp|P04075|ALDOA_HUMAN"	28.52	28.41	28.36	28.47	28.73	28.6	28.6	28.49	28.37	28.56	28.49	28.53	29.42	28.75	28.75	28.63	28.94	28.84	29.09	28.97	29.29	29.06	28.97	29.19	28.99	29.68
"CON_Chymotrypsin|SWISS-PROT:P00766"				18.49				18.11				16.93					16.03									
"CON_CTRB_BOVIN|SWISS-PROT:P00766"	21.81	21.74	21.7	21.58	21.12	20.94	21.21	21.1	21.02	21.12	21.37	21.09	22.02	20.51	21.08	21.04	21.75	21.93	21.51	21.43	20.9	21.09	20.07	21.09	22.38	21.87
"CON_CytC|SWISS-PROT:P62894;sp|P99999|CYC_HUMAN"	23.99	23.45	23.99	23.83	24.47	24.42	24.6	24.45	24.45	24.36	24.63	24.44	21.41	23.93	23.64	23.54	23.25	23.34	23.24	22.76	22.49	21.85	21.94	23.25	24.66	21.42
"CON_CytC|SWISS-PROT:P62894"	23.25	23.18	22.93	22.74	23.03	23.04	23.04	22.61	22.65	23.3	22.4	22.47	24.71	23.68	23.08	23.01	22.31	21.57	21.83	21.9	21.93	22.3	22.1	22.39	23.13	23.41
"CON_IPI00009865.2|SWISS-PROT:P13645;CON_K1C15_SHEEP|SWISS-PROT:O77727;sp|P13645|K1C10_HUMAN"	19.54	18.49	19.84	19.62	19.02	19.05	18.99	18.85	19.94	19.81	19.09	18.92	19.47	19.65	19.04	19.32	18.18	19.46	19.64	19.4	16.88	18.64	18.41	19.21	18.83	18.82
"CON_IPI00009865.2|SWISS-PROT:P13645;sp|P13645|K1C10_HUMAN;CON_IPI00009865.2|SWISS-PROT:P13645;sp|P13645|K1C10_HUMAN"	21.86	20.85	21.32	21.34	21.02	21.04	20.57	20.58	21.41	21.92	20.52	20.4	21.99	21.55	21.36	21.28	20.05	21.6	21.76	21.64	20.23	20.32	19.62	21.37	21.98	21.5
"CON_IPI00009865.2|SWISS-PROT:P13645;sp|P13645|K1C10_HUMAN"	24.09	23.36	23.95	24.11	23.28	23.74	23.34	23.52	23.99	24.19	23.31	23.4	18.32	24.16	24.23	24.3	23.25	23.93	24.14	24.22	22.28	23.32	15.11	24.13	23.48	16.16
"CON_IPI00009866.6|SWISS-PROT:P13646-1;CON_IPI00004550.5|SWISS-PROT:Q2M2I5;CON_IPI00798492.2|SWISS-PROT:P02535-1;sp|Q7Z3Y8|K1C27_HUMAN;CON_IPI00009865.2|SWISS-PROT:P13645;sp|P13646|K1C13_HUMAN;CON_IPI00136056.1|SWISS-PROT:P08730-1;sp|Q2M2I5|K1C24_HUMAN;CON_K1C15_SHEEP|SWISS-PROT:O77727;sp|P13645|K1C10_HUMAN;CON_IPI00328103.3|SWISS-PROT:Q7Z3Y8;CON_IPI00873598.1|ENSEMBL:ENSP00000377550"	22.39	20.91	22.02	21.8	21.02	21.42	21.28	21.22	21.34	22.03	21.64	21.53	22.01	21.45	21.97	21.89	21.77	22.56	22.63	22.89	19.81	20.83	20.73	22.33	21.14	21.69
"CON_IPI00009866.6|SWISS-PROT:P13646-1;CON_IPI00217963.3|SWISS-PROT:P08779;sp|P13646|K1C13_HUMAN;sp|P08779|K1C16_HUMAN;CON_IPI00384444.5|SWISS-PROT:P02533;sp|P02533|K1C14_HUMAN;CON_IPI00468696.3|SWISS-PROT:Q6IFX2;sp|P19012|K1C15_HUMAN;CON_K1C15_SHEEP|SWISS-PROT:O77727;CON_IPI00290077.1|SWISS-PROT:P19012;CON_IPI00873598.1|ENSEMBL:ENSP00000377550"		12.07	12.47	13.51	12.95	12.66	13.2		13.14	16.54	13.65			12.34	14.23	12.67	14.04									
"CON_IPI00009866.6|SWISS-PROT:P13646-1;CON_IPI00798492.2|SWISS-PROT:P02535-1;sp|Q7Z3Y8|K1C27_HUMAN;CON_IPI00009865.2|SWISS-PROT:P13645;sp|P13646|K1C13_HUMAN;CON_IPI00136056.1|SWISS-PROT:P08730-1;CON_K1C15_SHEEP|SWISS-PROT:O77727;sp|P13645|K1C10_HUMAN;CON_IPI00328103.3|SWISS-PROT:Q7Z3Y8;CON_IPI00873598.1|ENSEMBL:ENSP00000377550"	18.98	18.37	19.41	19.63	18.6	19.23	18.64	18.77	19.78	19.74	19.19	19.22	18.65	19.36	19.5	19.25	17.68	18.96	19	18.83	17.01	16.07	16.18	16.99	18.23	17.17
"CON_IPI00009866.6|SWISS-PROT:P13646-1;sp|P13646|K1C13_HUMAN;CON_IPI00112947.1|SWISS-PROT:P19001;CON_IPI00136056.1|SWISS-PROT:P08730-1;sp|P19012|K1C15_HUMAN;CON_K1C15_SHEEP|SWISS-PROT:O77727;CON_IPI00290077.1|SWISS-PROT:P19012;CON_IPI00873598.1|ENSEMBL:ENSP00000377550"	21.51	21.38	21	21.09	22.4	23.02	22.65	22.59	22.57	22.56	22.41	22.56	18.96	23.2	23.25	22.98	21.21	21.28	21.08	21.14	22.56	22.49	18.72	22.98	23.27	19.52
"CON_IPI00112947.1|SWISS-PROT:P19001;CON_IPI00136056.1|SWISS-PROT:P08730-1;sp|P19012|K1C15_HUMAN;CON_IPI00290077.1|SWISS-PROT:P19012"	20.29	19.91	20.04	20.23	21.71	21.57	21.59	21.62	21.26	21.36	21.38	21.38	21.92	21.56	21.22	21.43	21.36	21.27	21.34	21.41	22.49	22.68	22.67	22.32	22.57	22.53
"CON_IPI00136056.1|SWISS-PROT:P08730-1"	19.45	19.01	18.73	18.53	20.15	20.45	20.57	20.38	19.8	20.52	20.24	20.19	20.98	20.85	20.96	21.08	17.08	18.07	18.01	18.09	20.25	19.6	20.29	20.64	20.78	21.05
"CON_IPI00139301.3|SWISS-PROT:Q922U2;sp|P04264|K2C1_HUMAN;CON_IPI00131368.3|SWISS-PROT:P50446;CON_IPI00221797.1|TREMBL:Q8BGZ7;CON_IPI00697851.1|SWISS-PROT:Q5XQN5;Q99MH7;CON_IPI00220327.3|SWISS-PROT:P04264"	24.89	23.77	24.73	24.68	23.66	24.33	23.81	23.79	24.89	24.49	23.91	24.01	24.61	25.04	25.15	25.28	23.52	24.75	24.67	24.67	23.01	23.6	23.36	23.99	24.03	23.53
"CON_IPI00139301.3|SWISS-PROT:Q922U2;sp|P13647|K2C5_HUMAN;CON_IPI00009867.3|SWISS-PROT:P13647;CON_IPI00697851.1|SWISS-PROT:Q5XQN5"	21.39	19.55	20.78	20.83	19.76	20.36	19.54	19.93	21.24	20.96	20.5	20.4	15.84	21.11	21.04	21.01	19.6	20.74	20.96	21.04	18.32	19.37	12.66	20.68	20.3	13.79
"CON_IPI00174775.2|TREMBL:Q32MB2;sp|Q7RTS7|K2C74_HUMAN;sp|Q3SY84|K2C71_HUMAN;CON_IPI00061200.4|SWISS-PROT:Q3SY84;sp|Q86Y46|K2C73_HUMAN;CON_IPI00347096.2|SWISS-PROT:Q6IME9;CON_IPI00329306.3|SWISS-PROT:Q7RTS7;Q86Y46;sp|Q14CN4|K2C72_HUMAN;CON_IPI00103481.3|SWISS-PROT:Q14CN4-1"	22.49	21.09	22.64	22.29	21.74	22.37	21.55	21.65	22.28	22.29	21.8	21.53	21.5	22.14	21.54	21.58	18.07	21	19.77	20.24	17.1	19.06	18.17	19.93	19.85	19.84
"CON_IPI00174775.2|TREMBL:Q32MB2;sp|Q86Y46|K2C73_HUMAN;CON_IPI00290078.5|SWISS-PROT:P19013;Q86Y46;CON_IPI00347110.2|TREMBL:Q6NXH9;sp|P19013|K2C4_HUMAN"	13.6	14.48			15.54	13.49	10.61	10.36	15.74	15.82	14.26	13.52	14.42		15.95	13.8	17.03	15.56	12.8	13.92	15.7	13.96	15.26		15.15	15.53
"CON_IPI00217963.3|SWISS-PROT:P08779;CON_IPI00009865.2|SWISS-PROT:P13645;CON_IPI00225378.3|TREMBL:A2A4G1;sp|P08779|K1C16_HUMAN;CON_IPI00384444.5|SWISS-PROT:P02533;sp|P02533|K1C14_HUMAN;sp|P13645|K1C10_HUMAN"	22.97	22.19	22.95	22.97	22.4	22.73	22.24	22.24	22.41	23.48	22.07	21.98	22.45	22.38	21.82	22.04	20.72	22.67	22.38	22.46	20.97	21.42	20.99	22.19	22	22.46
