protein	"F20190719_liuwei_MDR_b1_K_1"	"F20190719_liuwei_MDR_b1_K_2"	"F20190719_liuwei_MDR_b1_K_3"	"F20190719_liuwei_MDR_b1_K_3_repB"	"F20190719_liuwei_MDR_b2_A1_1"	"F20190719_liuwei_MDR_b2_A1_2"	"F20190719_liuwei_MDR_b2_A1_3"	"F20190719_liuwei_MDR_b2_A1_3_repB"	"F20190721_liuwei_MDR_b3_A2_1"	"F20190721_liuwei_MDR_b3_A2_2"	"F20190721_liuwei_MDR_b3_A2_3"	"F20190721_liuwei_MDR_b3_A2_3_repB"	"F201907222_liuwei_MDR_b4_A3_1"	"F201907222_liuwei_MDR_b4_A3_2"	"F201907222_liuwei_MDR_b4_A3_3"	"F201907222_liuwei_MDR_b4_A3_3_repB"	"F201907242_liuwei_MDR_b5_I1_1"	"F201907242_liuwei_MDR_b5_I1_2"	"F201907242_liuwei_MDR_b5_I1_3"	"F201907242_liuwei_MDR_b5_I1_3_repB"	"F201907252_liuwei_MDR_b6_I2_1"	"F201907252_liuwei_MDR_b6_I2_2"	"F201907252_liuwei_MDR_b6_I2_3"	"F20190727_liuwei_MDR_b7_I3_1"	"F20190727_liuwei_MDR_b7_I3_2"	"F20190727_liuwei_MDR_b7_I3_3"
"1/CON_Chymotrypsin"		18.59	17.95	17.99	17.4	17.5	18.1	17.79	17.86	17.86	17.84		19.28	18.57	19.14	18.76		18.16	17.99			18.75	17.71		19.35	18.81
"1/CON_CTRB_BOVIN|SWISS-PROT:P00766"	21.58	21.62	21.54		21.06	20.92	21.37	20.95	21.03	21.15	21.27	20.91	21.76	20.59	21.07	21.15	21.46	21.73	21.07	21.05	20.78	20.62	19.72	20.95	22.06	21.43
"1/CON_CytC|SWISS-PROT:P62894"	22.55	22.53	22.23	21.99	22.41	22.5	22.2	21.75	21.85	22.58	21.67	21.55	23.61	23	22.44	22.21	21.37	20.54	20.63	20.72	20.96	21.36	21.25	21.31	22.35	22.23
"1/CON_IPI00136056.1"	19.54	19.11	18.88	18.65	20.03	20.63	20.73	20.65	20.17	20.86	20.25	20.25	20.81	21.12	21.17	21.25	18.11			17.76	20.07	19.45	19.88	20.15	19.87	20.76
"1/CON_IPI00311493.5"					19.96	20.78	20.52	20.64	20.06	19.3	18	17.97	19.02	19.73	19.56		20.52	19.89		20.4			15.17	20.49	19.19	19.35
"1/CON_IPI00479145.2"	18.65	19.14	18.65	18.81	19.14	19.96	19.8	19.25	19.57	19.23		19.28		20.88	20.54	20.79	17.32		18.34	18.73	20.16	18.61	19.36			20.26
"1/CON_IPI00687777.1"			16.18	16.41	18.26	18.28	18.28	18.04															19.44			
"1/CON_IPI00688316.2"	18.08	17.81	18.12	17.6																						
"1/CON_IPI00688815.2"	23.04	22.93	22.94	22.79							19.73								19.13							
"1/CON_IPI00689304.2"			19.69						19.61	19.16		19.08	19.94						18.92	18.97						
"1/CON_IPI00690198.1"	22.97	23.04	22.69	22.78	21.91	22.28	22.3	21.78	21.52	22.07	22.17	22.35	22.8	22.17	23.12	21.47	20.39	20.87	20.64	19.43	21.59	21.51	21.84	20.87	21.77	21.99
