protein	"F20190719_liuwei_MDR_b1_K_1"	"F20190719_liuwei_MDR_b1_K_2"	"F20190719_liuwei_MDR_b1_K_3"	"F20190719_liuwei_MDR_b1_K_3_repB"	"F20190719_liuwei_MDR_b2_A1_1"	"F20190719_liuwei_MDR_b2_A1_2"	"F20190719_liuwei_MDR_b2_A1_3"	"F20190719_liuwei_MDR_b2_A1_3_repB"	"F20190721_liuwei_MDR_b3_A2_1"	"F20190721_liuwei_MDR_b3_A2_2"	"F20190721_liuwei_MDR_b3_A2_3"	"F20190721_liuwei_MDR_b3_A2_3_repB"	"F201907222_liuwei_MDR_b4_A3_1"	"F201907222_liuwei_MDR_b4_A3_2"	"F201907222_liuwei_MDR_b4_A3_3"	"F201907222_liuwei_MDR_b4_A3_3_repB"	"F201907242_liuwei_MDR_b5_I1_1"	"F201907242_liuwei_MDR_b5_I1_2"	"F201907242_liuwei_MDR_b5_I1_3"	"F201907242_liuwei_MDR_b5_I1_3_repB"	"F201907252_liuwei_MDR_b6_I2_1"	"F201907252_liuwei_MDR_b6_I2_2"	"F201907252_liuwei_MDR_b6_I2_3"	"F20190727_liuwei_MDR_b7_I3_1"	"F20190727_liuwei_MDR_b7_I3_2"	"F20190727_liuwei_MDR_b7_I3_3"
""	14.2	14.43	14.33	14.28	13.39	13.69	13.88	13.73	14.04	13.73	13.87	13.33	14.38	13.53	14.47	14.62	10.89								13.59	
"A0A0B4J2F0"	15.57	15.79	15.63	15.38	15.69	16.04	15.95	15.85	15.58	15.65	15.29	14.87		15.21	15.37	15.33	15.42	15.41	15.51	15.41	15.32	15.67	11.15		15.04	
"A0AV96"	10.61	10.86	10.67	10.79	10.74	10.31	10.57	10.18	10.7	10.54							9.25							10.23	11.25	10.68
"A0AVT1"	17.26	17.49	17.25	17.42	17.27	17.33	17.62	17.45	17.38	17.69	17.61	17.38	18.5	17.46	17.65	17.8	17.11	17.17	17.28	17.3	17.82	17.4	18.2	17.44	17.83	18.4
"A0FGR8"	15.54	15.83	15.64	15.81	15.98	15.89	15.98	15.84	15.44	15.26	15.43	15.15	15.77	15.7	15.66	15.85	15.77	15.58	15.4	15.49	15.73	16.19	15.68	15.32	14.74	15.62
"A0MZ66"	14.76	14.85	14.69	14.54	15.11	15.26	15.21	14.85	15.07	15.71	15.36	14.91	15.64	14.98	15.11	15.19	15.52	15.27	15.42	15.29	15.57	15.22	15.56	15.48	15.53	15.53
"A1L020;Q5U5Q3;Q6ZN04;Q86XN8"	12.26	12.4	11.63		11.66	12.11	11.2		12.29	12.56	12.59			12.58	12.7	12.42										
"A1L0T0"	14.19	13.98	14.02	14.14	14.05	14	13.87	13.7	13.51	13.86	13.29	12.92	14.33	13.66	13.35	13.67	13.48	13.27	13.72	13.65	13.72	13.89	14.1	13.14		14.15
"A2RRP1"	13.82	14.29	13.76	14.02	13.93	13.63	14.07	13.87	14.32	14.15	14.03	13.43	12.1	14.2	14.33	14.49	12.84	12.61	13.05	12.38	12.75	13.68	13.24	12.76	12.67	
"A3KN83"	13.21	13.06	12.85	13.38	12.73	13.3	13.03	12.61	13.45	13.38	13.11	13.15	13.38	12.94	13.18	13.33	13.58	13.57	13.32	13.17	13.28	13.96	13.74	13.67	14.08	13.69
"A4D1E9"	13.84	14.29	14.05	14.24	13.52	13.4	13.5	13.32	13.46	13.6	13.42	13.14	13.86	13.46	13.39	13.93	12.82	13.22	13.19	13.18	12.93	13.05	13.72	12.17	12.87	13.86
"A5YKK6"	14.94	15.26	14.77	14.92	15.01	15.36	15.12	15.01	15.54	15.07	15.28	15.29	15.83	15.57	15.46	15.7	15.32	15.46	15.26	15.51	15.35	15.69	15.65	15.43	16.45	15.65
"A6NCE7;Q9GZQ8"	17.12	17.4	17.01	16.89	17.27	17.47	17.58	17.65	17.31	16.87	17.29	16.84	16.56	17.32	17.75	18.03	16.71	16.56	16.3	16.47	17.01	17.2	16.88	16.95	16.8	16.77
"A6NDG6"	13.28	13.62	13.26	13.15	13.41	13.46	13.63	13.58	13.96	13.57	13.55	13.27	13.78	13.6	13.85	13.85	12.29	12.7	12.2	12.09	13.42	12.96	13.21	11.95	12.48	13.17
"A6NDU8"	13.71	14.04	13.76	13.8	13.95	13.92	13.55	13.64	13.75	14.11	13.81	13.53	15.05	13.83	13.6	13.8	14.28	14.45	14.07	14.06	14.42	13.99	13.17	13.11	14.66	14.48
